"game_id","move_no","move_no_pair","player","notation","move","from_square","to_square","piece","color","fen","is_check","is_check_mate","is_fifty_moves","is_fivefold_repetition","is_game_over","is_insufficient_material","white_count","black_count","white_pawn_count","black_pawn_count","white_queen_count","black_queen_count","white_bishop_count","black_bishop_count","white_knight_count","black_knight_count","white_rook_count","black_rook_count","captured_score_for_white","captured_score_for_black","fen_row1_white_count","fen_row2_white_count","fen_row3_white_count","fen_row4_white_count","fen_row5_white_count","fen_row6_white_count","fen_row7_white_count","fen_row8_white_count","fen_row1_white_value","fen_row2_white_value","fen_row3_white_value","fen_row4_white_value","fen_row5_white_value","fen_row6_white_value","fen_row7_white_value","fen_row8_white_value","fen_row1_black_count","fen_row2_black_count","fen_row3_black_count","fen_row4_black_count","fen_row5_black_count","fen_row6_black_count","fen_row7_black_count","fen_row8_black_count","fen_row1_black_value","fen_row2_black_value","fen_row3_black_value","fen_row4_black_value","fen_row5_black_value","fen_row6_black_value","fen_row7_black_value","fen_row8_black_value","move_sequence"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",1,1,"STL_Grischuk","e4","e2e4","e2","e4","P","White","rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,"e4"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",2,1,"STL_Carlsen","e5","e7e5","e7","e5","P","Black","rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,"e4|e5"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",3,2,"STL_Grischuk","Nf3","g1f3","g1","f3","N","White","rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,"e4|e5|Nf3"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",4,2,"STL_Carlsen","Nc6","b8c6","b8","c6","N","Black","r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,"e4|e5|Nf3|Nc6"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",5,3,"STL_Grischuk","Bb5","f1b5","f1","b5","B","White","r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,"e4|e5|Nf3|Nc6|Bb5"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",6,3,"STL_Carlsen","Nf6","g8f6","g8","f6","N","Black","r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,2,7,6,0,0,0,0,1,6,7,25,"e4|e5|Nf3|Nc6|Bb5|Nf6"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",7,4,"STL_Grischuk","O-O","e1g1","e1","g1","K","White","r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1",0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,2,7,6,0,0,0,0,1,6,7,25,"e4|e5|Nf3|Nc6|Bb5|Nf6|O-O"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",8,4,"STL_Carlsen","Nxe4","f6e4","f6","e4","N","Black","r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1",0,0,0,0,0,0,15,16,7,8,1,1,2,2,2,2,2,2,0,1,6,7,1,0,1,0,0,0,25,7,3,0,3,0,0,0,0,0,0,1,1,1,7,6,0,0,0,3,1,3,7,25,"e4|e5|Nf3|Nc6|Bb5|Nf6|O-O|Nxe4"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",9,5,"STL_Grischuk","d4","d2d4","d2","d4","P","White","r1bqkb1r/pppp1ppp/2n5/1B2p3/3Pn3/5N2/PPP2PPP/RNBQ1RK1",0,0,0,0,0,0,15,16,7,8,1,1,2,2,2,2,2,2,0,1,6,6,1,1,1,0,0,0,25,6,3,1,3,0,0,0,0,0,0,1,1,1,7,6,0,0,0,3,1,3,7,25,"e4|e5|Nf3|Nc6|Bb5|Nf6|O-O|Nxe4|d4"
"bd1293d6-81a4-4957-9a7f-1b2ea43d5c53",10,5,"STL_Carlsen","Nd6","e4d6","e4","d6","N","Black","r1bqkb1r/pppp1ppp/2nn4/1B2p3/3P4/5N2/PPP2PPP/RNBQ1RK1",0,0,0,0,0,0,15,16,7,8,1,1,2,2,2,2,2,2,0,1,6,6,1,1,1,0,0,0,25,6,3,1,3,0,0,0,0,0,0,0,1,2,7,6,0,0,0,0,1,6,7,25,"e4|e5|Nf3|Nc6|Bb5|Nf6|O-O|Nxe4|d4|Nd6"
